"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","percentiletest","percentilesignificant","gaptest","gapsignificant"
"Idaho",4,"Mathematics",90,280.845500183106,276.61600189209,279.655999755859,1.18950042724703,"x
Diff = 1
P-value = 0.7258",0,"x
Diff = -11
P-value = 0.1251",0
"Illinois",4,"Mathematics",10,188.871500396729,192.188499450684,193.624502563477,-4.75300216674799,"x
Diff = -5
P-value = 0.2103",0,"x
Diff = -6
P-value = 0.3805",0
"Illinois",4,"Mathematics",25,212.803500366211,214.675998687744,216.660501861572,-3.85700149536098,"x
Diff = -4
P-value = 0.1174",0,"x
Diff = -6
P-value = 0.3805",0
"Illinois",4,"Mathematics",50,238.552001190186,238.440000152588,239.92500076294,-1.372999572754,"x
Diff = -1
P-value = 0.5146",0,"x
Diff = -6
P-value = 0.3805",0
"Illinois",4,"Mathematics",75,260.856497192383,260.455001831055,260.62799987793,0.228497314453023,"x
Diff = 0
P-value = 0.9049",0,"x
Diff = -6
P-value = 0.3805",0
"Illinois",4,"Mathematics",90,279.645501708984,279.745500183106,278.54700012207,1.09850158691398,"x
Diff = 1
P-value = 0.7054",0,"x
Diff = -6
P-value = 0.3805",0
"Indiana",4,"Mathematics",10,193.784000396728,195.367999267578,203.898999023438,-10.11499862671,"<
Diff = -10
P-value = 0.0340",1,"x
Diff = -9
P-value = 0.2253",0
"Indiana",4,"Mathematics",25,219.184499359131,218.032001495361,225.04700088501,-5.862501525879,"<
Diff = -6
P-value = 0.0155",1,"x
Diff = -9
P-value = 0.2253",0
"Indiana",4,"Mathematics",50,243.070999145508,240.650497436524,246.772499084473,-3.70149993896499,"<
Diff = -4
P-value = 0.0293",1,"x
Diff = -9
P-value = 0.2253",0
"Indiana",4,"Mathematics",75,264.305999755859,261.933000183106,266.459501647949,-2.15350189209005,"x
Diff = -2
P-value = 0.3122",0,"x
Diff = -9
P-value = 0.2253",0
"Indiana",4,"Mathematics",90,281.925001525879,280.067498779297,283.436999511719,-1.51199798584003,"x
Diff = -2
P-value = 0.3844",0,"x
Diff = -9
P-value = 0.2253",0
"Iowa",4,"Mathematics",10,191.981999206543,198.283501434326,198.875500488281,-6.893501281738,"<
Diff = -7
P-value = 0.0055",1,"x
Diff = -5
P-value = 0.2602",0
"Iowa",4,"Mathematics",25,215.721000671387,220.192998504639,221.177501678467,-5.45650100707999,"<
Diff = -5
P-value = 0.0314",1,"x
Diff = -5
P-value = 0.2602",0
