"State","Grade","Subject","Percentile","Score.2024","Score.2022","Score.2019","Score.Change","Group"
"Texas",4,"Reading","10th",156.926999664307,161.459998321533,165.514501190186,-8.58750152587899,"All students"
"Utah",4,"Reading","10th",162.323999786377,166.120999145508,174.766500091553,-12.442500305176,"All students"
"Vermont",4,"Reading","10th",154.151000213623,159.372498321533,167.693997192383,-13.54299697876,"All students"
"Virginia",4,"Reading","10th",156.636500549317,153.108499908447,174.133001708984,-17.496501159667,"All students"
"Washington",4,"Reading","10th",157.973500823975,159.440999603272,166.354499053955,-8.38099822998001,"All students"
"West Virginia",4,"Reading","10th",145.3875,147.20299911499,155.768998718262,-10.381498718262,"All students"
"Wisconsin",4,"Reading","10th",158.489001464844,162.81900177002,165.566000366211,-7.07699890136701,"All students"
"Wyoming",4,"Reading","10th",171.690000915527,174.954999542236,179.487000274658,-7.79699935913098,"All students"
"National",8,"Reading","10th",203.993999481201,209.417999267578,212.907500457764,-8.913500976563,"All students"
"Alabama",8,"Reading","10th",197.25000076294,199.431499481201,203.211000823975,-5.96100006103501,"All students"
"Alaska",8,"Reading","10th",187.835998535156,195.630499267578,200.848500061035,-13.012501525879,"All students"
"Arizona",8,"Reading","10th",202.650499725342,209.261999511719,211.623498535156,-8.97299880981399,"All students"
"Arkansas",8,"Reading","10th",204.607997894287,204.254999542236,206.630999755859,-2.023001861572,"All students"
"California",8,"Reading","10th",197.580001831055,206.808000946045,205.760999298096,-8.18099746704101,"All students"
"Colorado",8,"Reading","10th",215.332000732422,210.503999328613,219.725500488281,-4.39349975585901,"All students"
"Connecticut",8,"Reading","10th",207.768502044678,212.652000427246,220.618999481201,-12.850497436523,"All students"
"Delaware",8,"Reading","10th",193.045498657227,201.20599899292,206.754500579834,-13.709001922607,"All students"
"District of Columbia",8,"Reading","10th",194.105501556396,197.142000579834,194.305500030518,-0.199998474121998,"All students"
"DoDEA",8,"Reading","10th",242.971502685547,243.858999633789,244.1,-1.128497314453,"All students"
"Florida",8,"Reading","10th",198.146500396729,209.736000061035,212.925,-14.778499603271,"All students"
"Georgia",8,"Reading","10th",205.903999328613,206.735000610352,213.535500335693,-7.63150100708,"All students"
"Hawaii",8,"Reading","10th",203.262001037598,204.82799987793,206.576999664307,-3.31499862670901,"All students"
"Idaho",8,"Reading","10th",209.001999664307,217.35599975586,217.874000549316,-8.87200088500902,"All students"
"Illinois",8,"Reading","10th",208.05950012207,211.149499511719,214.787999725342,-6.72849960327198,"All students"
"Indiana",8,"Reading","10th",209.194000244141,210.161501312256,216.001499938965,-6.807499694824,"All students"
"Iowa",8,"Reading","10th",210.544999694824,211.735500335693,214.069000244141,-3.52400054931698,"All students"
"Kansas",8,"Reading","10th",206.144000244141,206.311001586914,215.593500518799,-9.44950027465799,"All students"
"Kentucky",8,"Reading","10th",205.756498718262,206.35000076294,212.598498535156,-6.841999816894,"All students"
"Louisiana",8,"Reading","10th",205.562001037598,205.675498962402,209.120500946045,-3.558499908447,"All students"
"Maine",8,"Reading","10th",202.748499298096,199.954000091553,215.798997497559,-13.050498199463,"All students"
"Maryland",8,"Reading","10th",198.034999847412,201.003000640869,211.040501403809,-13.005501556397,"All students"
"Massachusetts",8,"Reading","10th",213.901499176025,217.959497833252,223.915500640869,-10.014001464844,"All students"
"Michigan",8,"Reading","10th",205.967499542236,208.285500335693,216.396999359131,-10.429499816895,"All students"
"Minnesota",8,"Reading","10th",215.056999969482,211.463998413086,213.901500701904,1.15549926757799,"All students"
"Mississippi",8,"Reading","10th",205.160999298096,204.794500732422,209.275999450684,-4.11500015258801,"All students"
"Missouri",8,"Reading","10th",203.569499206543,206.186500549316,213.988001251221,-10.418502044678,"All students"
